,project_name,commits,open_issues,closed_issues,open_pulls,closed_pulls,branches,releases,contributers,stars,forks
0,https://github.com/serde-rs/serde,2634,87,786,1,542,2,174,102,1701,205
1,https://github.com/rust-lang/libc,2344,54,176,10,865,3,44,244,398,317
2,https://github.com/serde-rs/json,757,40,251,0,210,3,62,62,662,138
3,https://github.com/rust-lang/log,371,10,125,4,157,3,18,53,410,91
4,https://github.com/kbknapp/clap-rs,2433,91,571,6,696,9,112,149,2210,229
5,https://github.com/hyperium/hyper,1899,30,790,2,856,5,132,187,3997,635
6,https://github.com/rust-lang-nursery/rand,1876,41,186,5,402,9,66,166,290,154
7,https://github.com/rust-lang-nursery/lazy-static.rs,183,12,56,2,56,2,31,33,481,59
8,https://github.com/rust-lang/regex,859,30,252,7,240,7,74,98,871,156
9,https://github.com/BurntSushi/byteorder,202,8,57,2,65,1,47,35,324,68
10,https://github.com/rust-lang/rustc-serialize,296,1,88,3,101,4,6,59,166,102
11,https://github.com/alexcrichton/futures-rs,2298,99,446,10,747,11,48,163,2245,272
12,https://github.com/rust-lang-nursery/error-chain,245,56,86,9,101,2,18,40,526,83
13,https://github.com/servo/rust-url,913,29,148,10,276,13,69,95,358,134
14,https://github.com/chronotope/chrono,455,80,96,9,96,4,54,52,650,102
15,https://github.com/rust-lang/time,278,21,56,5,87,2,6,52,107,78
16,https://github.com/tokio-rs/tokio-core,433,43,132,5,149,7,18,73,588,119
17,https://github.com/rust-lang-nursery/bitflags,219,7,64,1,96,3,13,43,138,65
18,https://github.com/hyperium/mime,184,11,24,5,53,5,23,30,59,43
19,https://github.com/rust-lang-nursery/rust-clippy,4687,792,1119,31,1412,26,144,233,2595,363
20,https://github.com/sebasmagri/env_logger,171,8,32,2,65,1,16,36,83,28
21,https://github.com/rust-num/num,736,1,154,0,215,5,71,78,325,143
22,https://github.com/alexcrichton/toml-rs,479,27,113,7,120,3,17,62,395,81
23,https://github.com/dermesser/yup-oauth2,246,4,31,1,38,6,26,12,40,20
24,https://github.com/dtolnay/quote,215,5,41,0,36,2,42,11,155,22
25,https://github.com/dtolnay/syn,1578,29,335,1,154,1,101,39,360,58
26,https://github.com/Geal/nom,1860,75,356,11,403,16,52,156,2400,294
27,https://github.com/bluss/rust-itertools,1026,43,86,20,165,12,77,50,507,97
28,https://github.com/seanmonstar/reqwest,386,59,161,2,150,4,27,66,876,159
29,https://github.com/uuid-rs/uuid,872,18,90,2,233,9,19,84,200,78
30,https://github.com/rust-num/num-traits,868,17,32,2,40,3,22,87,58,25
31,https://github.com/withoutboats/failure,141,0,0,0,0,22,0,26,13,85
32,https://github.com/alicemaz/rust-base64,186,5,30,2,41,5,16,14,94,23
33,https://github.com/docopt/docopt.rs,513,39,84,6,117,1,101,64,587,79
34,https://github.com/DaGenix/rust-crypto,753,57,63,39,284,4,41,49,778,197
35,https://github.com/tailhook/quick-error,64,13,13,0,15,5,13,8,195,11
36,https://github.com/rust-lang/getopts,159,7,23,1,45,2,4,28,108,33
37,https://github.com/tokio-rs/tokio-io,104,2,53,0,52,4,5,24,127,42
38,https://github.com/PistonDevelopers/image,1351,119,212,4,490,3,1,128,798,212
39,https://github.com/carllerche/bytes,245,21,71,6,132,5,13,36,239,65
40,https://github.com/dguo/strsim-rs,62,1,8,2,12,1,17,9,84,14
41,https://github.com/nix-rust/nix,1503,64,222,27,645,4,13,159,776,251
42,https://github.com/seanmonstar/num_cpus,124,6,20,3,40,1,16,28,113,32
43,https://github.com/Byron/yup-hyper-mock,65,0,6,0,10,2,14,10,24,12
44,https://github.com/sfackler/rust-openssl,2439,31,370,6,606,3,127,175,418,296
45,https://github.com/carllerche/mio,664,59,340,13,469,15,21,123,2705,332
46,https://github.com/iron/iron,933,39,199,4,350,4,7,84,5078,366
47,https://github.com/ogham/rust-ansi-term,144,8,9,2,25,1,11,14,149,23
48,https://github.com/alexcrichton/flate2-rs,386,10,85,1,73,6,34,45,184,62
49,https://github.com/rust-lang/tempdir,73,0,22,0,27,4,3,16,120,25
50,https://github.com/rust-lang/glob,136,14,11,3,42,2,1,25,82,34
51,https://github.com/BurntSushi/walkdir,145,2,49,0,62,2,29,31,271,52
52,https://github.com/rayon-rs/rayon,1397,63,185,8,350,11,24,84,2257,162
53,https://github.com/slog-rs/slog,608,13,127,1,56,20,55,33,555,49
54,https://github.com/Stebalien/term,204,12,21,2,55,5,10,29,109,38
55,https://github.com/servo/rust-fnv,41,1,2,0,14,4,7,11,82,12
56,https://github.com/TyOverby/bincode,335,32,110,1,111,9,16,44,446,82
57,https://github.com/netvl/xml-rs,359,27,53,1,90,4,9,46,224,61
58,https://github.com/steveklabnik/semver,359,35,31,5,105,12,33,48,125,54
59,https://github.com/crossbeam-rs/crossbeam,210,14,74,2,100,3,8,40,1063,74
60,https://github.com/briansmith/ring,8516,206,241,20,239,21,35,132,995,194
61,https://github.com/sfackler/rust-native-tls,314,10,47,1,53,2,9,15,122,54
62,https://github.com/sebcrozet/nalgebra,989,61,172,3,216,9,43,58,841,121
63,https://github.com/stepancheg/rust-protobuf,1044,28,152,6,161,15,28,64,769,142
64,https://github.com/BurntSushi/rust-csv,371,10,75,1,48,5,73,29,472,67
65,https://github.com/KokaKiwi/rust-hex,35,2,6,0,9,3,0,6,23,6
66,https://github.com/gtk-rs/sys,219,10,10,1,90,3,11,9,18,13
67,https://github.com/alexcrichton/git2-rs,1025,43,108,2,213,6,76,105,374,148
68,https://github.com/servo/rust-smallvec,241,10,27,0,91,7,26,37,182,42
69,https://github.com/hyperium/hyper-tls,28,3,16,0,13,1,8,7,56,28
70,https://github.com/mackwic/colored,66,4,14,1,23,1,11,13,248,17
71,https://github.com/sfackler/hyper-native-tls,40,1,9,0,9,1,7,5,33,8
72,https://github.com/dtolnay/serde-yaml,301,14,56,0,42,2,30,21,120,25
73,https://github.com/lfairy/rust-errno,70,1,10,0,8,1,14,8,13,11
74,https://github.com/withoutboats/failure_derive,13,5,3,0,4,2,0,1,22,3
75,https://github.com/andersk/enum_primitive-rs,15,5,3,5,4,2,4,3,46,16
76,https://github.com/chyh1990/yaml-rust,227,16,38,3,58,2,14,21,227,48
77,https://github.com/japaric/cortex-m,268,11,26,2,77,16,36,17,133,30
78,https://github.com/brendanzab/cgmath,1493,39,101,8,320,2,34,71,483,110
79,https://github.com/fizyk20/generic-array,177,1,28,0,38,2,30,18,118,24
80,https://github.com/Amanieu/parking_lot,268,6,49,2,41,3,5,30,459,39
81,https://github.com/danburkert/memmap-rs,114,14,27,4,34,2,13,15,219,41
82,https://github.com/lifthrasiir/rust-encoding,329,21,23,4,70,4,0,35,169,53
83,https://github.com/RustCrypto/hashes,137,10,38,4,11,2,17,8,218,26
84,https://github.com/japaric/vcell,1,1,0,2,0,1,1,1,5,2
85,https://github.com/sfackler/rust-phf,565,9,46,1,75,3,61,28,338,51
86,https://github.com/alexcrichton/cfg-if,27,3,4,1,8,2,6,6,48,8
87,https://github.com/BurntSushi/rust-memchr,97,0,12,1,25,2,18,12,68,24
88,https://github.com/tokio-rs/tokio-service,32,8,8,1,15,5,1,9,84,21
