Name,Repository_URL
serde,https://github.com/serde-rs/serde
libc,https://github.com/rust-lang/libc
serde_json,https://github.com/serde-rs/json
log,https://github.com/rust-lang/log
clap,https://github.com/kbknapp/clap-rs
hyper,https://github.com/hyperium/hyper
rand,https://github.com/rust-lang-nursery/rand
lazy_static,https://github.com/rust-lang-nursery/lazy-static.rs
regex,https://github.com/rust-lang/regex
byteorder,https://github.com/BurntSushi/byteorder
rustc-serialize,https://github.com/rust-lang/rustc-serialize
futures,https://github.com/alexcrichton/futures-rs
error-chain,https://github.com/rust-lang-nursery/error-chain
url,https://github.com/servo/rust-url
chrono,https://github.com/chronotope/chrono
time,https://github.com/rust-lang/time
tokio-core,https://github.com/tokio-rs/tokio-core
bitflags,https://github.com/rust-lang-nursery/bitflags
mime,https://github.com/hyperium/mime
clippy,https://github.com/rust-lang-nursery/rust-clippy
env_logger,https://github.com/sebasmagri/env_logger
num,https://github.com/rust-num/num
toml,https://github.com/alexcrichton/toml-rs
yup-oauth2,https://github.com/dermesser/yup-oauth2
quote,https://github.com/dtolnay/quote
syn,https://github.com/dtolnay/syn
nom,https://github.com/Geal/nom
itertools,https://github.com/bluss/rust-itertools
reqwest,https://github.com/seanmonstar/reqwest
uuid,https://github.com/uuid-rs/uuid
num-traits,https://github.com/rust-num/num-traits
failure,https://github.com/withoutboats/failure
base64,https://github.com/alicemaz/rust-base64
docopt,https://github.com/docopt/docopt.rs
rust-crypto,https://github.com/DaGenix/rust-crypto
quick-error,https://github.com/tailhook/quick-error
getopts,https://github.com/rust-lang/getopts
tokio-io,https://github.com/tokio-rs/tokio-io
image,https://github.com/PistonDevelopers/image
bytes,https://github.com/carllerche/bytes
strsim,https://github.com/dguo/strsim-rs
nix,https://github.com/nix-rust/nix
num_cpus,https://github.com/seanmonstar/num_cpus
yup-hyper-mock,https://github.com/Byron/yup-hyper-mock
openssl,https://github.com/sfackler/rust-openssl
mio,https://github.com/carllerche/mio
iron,https://github.com/iron/iron
flate2,https://github.com/alexcrichton/flate2-rs
ansi_term,https://github.com/ogham/rust-ansi-term
